,#_week,date_week,SALES,D15,D20,D25,D30,PRICE,MKT,COMPETITIVE SPEND,AGENTS,OTHER MEDIA,PROGRAMMATIC,PROGRAMMATIC_IMP,OOH,OOH_IMP,CONTEXT BRANDED GOOGLE,CONTEXT BRANDED YANDEX,CONTEXT UNBRANDED GOOGLE,CONTEXT UNBRANDED YANDEX,CONTEXT BRANDED GOOGLE_IMP,CONTEXT BRANDED YANDEX_IMP,CONTEXT UNBRANDED GOOGLE_IMP,CONTEXT UNBRANDED YANDEX_IMP,BASES AVITO,BASES CIAN,BASES YANDEX,BASES OTH,BASES M2,BASES DOMCLICK,BASES AVITO_IMP,BASES CIAN_IMP,BASES YANDEX_IMP,BASES OTH_IMP,BASES M2_IMP,BASES DOMCLICK_IMP,CLASSIFIEDS CIAN,CLASSIFIEDS IRN,CLASSIFIEDS NOVOSTROY GID,CLASSIFIEDS NOVOSTROY-M,CLASSIFIEDS OTHER,CLASSIFIEDS CIAN_IMP,CLASSIFIEDS IRN_IMP,CLASSIFIEDS NOVOSTROY GID_IMP,CLASSIFIEDS NOVOSTROY-M_IMP,CLASSIFIEDS OTHER_IMP,SALES_mln,SALES_mln_rolling,SALES_log,key_rate,Отчетная дата,"Количество предоставленных кредитов за месяц, единиц","Объем предоставленных кредитов за месяц, млн руб.","Задолженность по предоставленным кредитам, млн руб., в том числе","     просроченная задолженность по предоставленным кредитам, млн руб.","Задолженность по приобретенным кредитными организациями правам требования по ипотечным жилищным кредитам, млн руб.","Задолженность  по предоставленным кредитам с учетом  приобретенных кредитными организациями прав требования, млн руб.","Средневзвешенный срок кредитования по кредитам, выданным в течение месяца, месяцев","Средневзвешенная ставка по кредитам, выданным в течение месяца, %",date_mort,date_ex,usd,cny
0,1,2022-01-01,0.0,0,0,0,0,0.0,0.0,106191135.96952905,0.0,0.0,0.0,0.0,0.0,14009.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.5,01.01.2022,192410,641337,11752902,59471,250806,12003708,257.1,7.81,2022-01-01,2021-12-31,74.2926,11.65
1,2,2022-01-08,0.0,0,0,0,0,0.0,125934579.88,106191135.96952905,0.0,20328552.0,0.0,0.0,571608.46,141427.86,98427.86,81945.95999999999,170590.46,280311.83999999997,1001.9,1472.32,1830047.32,391718.82,231969.52,62780.0,116576.44,83985.88,0.0,0.0,92787.808,25112.0,46630.576,33594.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.5,01.01.2022,192410,641337,11752902,59471,250806,12003708,257.1,7.81,2022-01-01,2021-12-31,74.2926,11.65
2,3,2022-01-15,149983064.62100002,0,0,0,0,351577.74172761367,2478954396.32,106191135.96952905,1779062.2802,21232556.0,0.0,0.0,571608.46,138290.58,103304.92,146252.46,196435.18,286164.14,1476.62,2577.42,1917877.4,366124.36,231969.52,153940.0,116576.44,83985.88,0.0,0.0,92787.808,61576.0,46630.576,33594.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.983064621,,5.017167675697287,8.5,01.01.2022,192410,641337,11752902,59471,250806,12003708,257.1,7.81,2022-01-01,2022-01-15,75.7668,11.95
3,4,2022-01-22,172073233.70420003,0,0,0,0,378182.931218022,1162480398.84,106191135.96952905,635166.3472,21412347.0,0.0,0.0,571608.46,140762.22,95522.78,137145.91999999998,189737.5,130286.56,1530.8,76935.6,1671996.52,242828.74,231969.52,233490.0,116576.44,83985.88,0.0,0.0,92787.808,93396.0,46630.576,33594.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.07323370420002,,5.153714821133999,8.5,01.01.2022,192410,641337,11752902,59471,250806,12003708,257.1,7.81,2022-01-01,2022-01-22,76.6903,12.1
4,5,2022-01-29,300130820.15360004,0,0,0,0,348139.21836631483,1424906375.94,106191135.96952905,2702299.7486,21232259.0,0.0,0.0,571608.46,144937.52,118774.59999999999,128849.5,267426.46,210145.3,1627.12,142295.6,2593613.8,765436.98,231969.52,267030.0,116576.44,83985.88,0.0,0.0,92787.808,106812.0,46630.576,33594.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.13082015360004,124.43742369576003,5.707544788780132,8.5,01.01.2022,192410,641337,11752902,59471,250806,12003708,257.1,7.81,2022-01-01,2022-01-29,77.8174,12.23
5,6,2022-02-05,78824627.1348,0,0,0,0,380060.88300289307,1759641872.86,106191135.96952905,677260.6984,18096830.0,0.0,0.0,891651.44,161452.96,156698.02,114639.72,92537.72,131267.82,1514.46,5997.64,280521.68,758072.7999999999,265948.12,169201.56,121011.45999999999,21604.92,0.0,0.0,106379.248,67680.624,48404.584,8641.967999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8246271348,140.20234912272002,4.379832067557052,8.5,01.02.2022,94982,326952,11891395,59552,247950,12139346,262.2,7.87,2022-02-01,2022-02-05,76.0509,11.96
6,7,2022-02-12,217691336.8384,0,0,0,0,378396.205177125,2311660842.64,140997879.7740384,2016176.6641999998,17347846.0,0.0,0.0,944991.22,174416.6,139212.5,64005.5,216339.88,232750.4,1538.54,19066.2,610802.96,961364.76,271611.22,197401.82,121750.2,11208.38,0.0,0.0,108644.488,78960.728,48700.08,4483.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.69133683840002,183.74061649040001,5.387661314819496,8.5,01.02.2022,94982,326952,11891395,59552,247950,12139346,262.2,7.87,2022-02-01,2022-02-12,74.9867,11.79
7,8,2022-02-19,348117272.6696,0,0,0,0,381039.04626707535,3586226951.54,140997879.7740384,3415097.2809999995,17696518.0,0.0,0.0,944991.22,176730.86,93600.68,155945.52,106131.74,179813.1,1354.5,225307.1,161700.63999999998,538204.34,271611.22,197401.82,121750.2,11208.38,0.0,0.0,108644.488,78960.728,48700.08,4483.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.1172726696,223.36745810012002,5.855407890599985,9.5,01.02.2022,94982,326952,11891395,59552,247950,12139346,262.2,7.87,2022-02-01,2022-02-19,75.7619,11.98
8,9,2022-02-26,246580951.15780002,0,0,0,0,401140.31423100707,2389609793.54,140997879.7740384,1298224.2229999998,16410886.0,0.0,0.0,944991.22,175277.46,140816.4,137505.4,94398.76,89257.68,1109.4,168351.88,129322.5,520163.26,271611.22,197401.82,121750.2,11208.38,0.0,0.0,108644.488,78960.728,48700.08,4483.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.58095115780003,238.26900159084002,5.511737603916302,9.5,01.02.2022,94982,326952,11891395,59552,247950,12139346,262.2,7.87,2022-02-01,2022-02-26,83.5485,13.23
9,10,2022-03-05,290439306.0638,0,0,0,0,376900.21549935115,2604949312.94,140997879.7740384,1246398.5676000002,17760970.0,0.0,0.0,205454.0,78826.74,68677.88,111640.04,38629.479999999996,91579.68,645.0,3024.62,104949.24,832456.78,210019.74,176227.76,69709.88,10461.9,0.0,0.0,84007.89600000001,70491.10399999999,27883.952,4184.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.43930606379996,236.33069877288,5.674831771637221,20.0,01.03.2022,135663,476900,12163639,59216,246102,12409741,264.5,8.1,2022-03-01,2022-03-05,105.8124,16.74
